title,genre,description
Inception,Sci-Fi,A thief enters dreams to steal secrets
Interstellar,Sci-Fi,A team travels through space to save humanity
The Matrix,Sci-Fi,A hacker discovers reality is a simulation
Avatar,Sci-Fi,A marine explores an alien planet
Gravity,Sci-Fi,Astronaut stranded in space struggles to survive

Titanic,Romance,A tragic love story on a sinking ship
The Notebook,Romance,A lifelong love story between a couple
La La Land,Romance,A musician and actress fall in love chasing dreams
Pride and Prejudice,Romance,A classic romantic story of misunderstandings
Me Before You,Romance,A girl changes the life of a disabled man

Avengers,Action,Superheroes unite to save the world
John Wick,Action,A retired assassin seeks revenge
The Dark Knight,Action,Batman faces the Joker in Gotham
Mad Max Fury Road,Action,A high-speed chase in a desert wasteland
Gladiator,Action,A warrior seeks revenge in ancient Rome

Frozen,Animation,A princess with ice powers saves her kingdom
Toy Story,Animation,Toys come alive and go on adventures
Coco,Animation,A boy explores the land of the dead
Finding Nemo,Animation,A fish searches for his lost son
The Lion King,Animation,A lion cub becomes king

Joker,Drama,A man becomes a criminal mastermind
Forrest Gump,Drama,A simple man lives an extraordinary life
The Shawshank Redemption,Drama,A prisoner finds hope and freedom
Fight Club,Drama,A man forms an underground fight club
Whiplash,Drama,A drummer pushes himself to greatness

Harry Potter,Sci-Fi,A young wizard discovers magic and fights evil
Doctor Strange,Sci-Fi,A surgeon learns mystic arts
Black Panther,Action,A king protects his nation with advanced tech
Thor,Action,A god fights to protect Earth
Iron Man,Action,A billionaire builds a powerful suit

Up,Animation,An old man flies his house with balloons
Inside Out,Animation,Emotions control a girl’s mind
Moana,Animation,A girl sails across the ocean to save her people
Zootopia,Animation,A rabbit cop solves a mystery
Despicable Me,Animation,A villain becomes a father

The Conjuring,Horror,Paranormal investigators help a family
It,Horror,A clown terrorizes children
The Nun,Horror,A priest investigates a haunted abbey
Annabelle,Horror,A possessed doll brings terror
Insidious,Horror,A family faces supernatural spirits

Parasite,Thriller,A poor family infiltrates a rich household
Gone Girl,Thriller,A woman mysteriously disappears
Shutter Island,Thriller,A detective investigates a mental asylum
The Prestige,Thriller,Two magicians compete dangerously
Se7en,Thriller,Detectives hunt a serial killer
